Date,Country,City,Specie,count,min,max,median,variance
2025-08-16,SE,Stockholm,pm25,96,3.0,13.0,5.0,36.47
2025-10-19,SE,Stockholm,pm25,120,5.0,28.0,9.0,154.56
2024-02-03,SE,Stockholm,pm25,96,5.0,31.0,9.0,429.0
2024-04-10,SE,Stockholm,pm25,96,14.0,55.0,27.0,1175.56
2024-09-06,SE,Stockholm,pm25,96,15.0,67.0,50.0,2054.37
2024-10-11,SE,Stockholm,pm25,96,3.0,15.0,6.0,93.89
2025-02-21,SE,Stockholm,pm25,96,15.0,82.0,72.0,2730.41
2024-05-17,SE,Stockholm,pm25,96,21.0,72.0,37.0,1773.88
2024-07-26,SE,Stockholm,pm25,96,8.0,27.0,15.0,201.18
2025-04-02,SE,Stockholm,pm25,96,15.0,145.0,45.0,5038.21
2025-05-20,SE,Stockholm,pm25,96,10.0,28.0,16.0,183.3
2025-09-07,SE,Stockholm,pm25,96,12.0,29.0,22.0,205.61
2024-10-06,SE,Stockholm,pm25,96,7.0,26.0,13.0,173.99
2025-01-22,SE,Stockholm,pm25,96,12.0,46.0,37.0,598.7
2025-04-07,SE,Stockholm,pm25,96,5.0,29.0,13.0,251.31
2024-06-09,SE,Stockholm,pm25,96,6.0,35.0,11.0,475.26
2024-12-31,SE,Stockholm,pm25,96,6.0,72.0,18.0,3674.38
2025-06-12,SE,Stockholm,pm25,96,5.0,56.0,10.0,1588.78
2025-04-29,SE,Stockholm,pm25,96,4.0,25.0,12.0,301.45
2024-01-06,SE,Stockholm,pm25,71,11.0,61.0,21.0,1778.17
2024-03-12,SE,Stockholm,pm25,96,14.0,52.0,31.0,1117.88
2024-08-02,SE,Stockholm,pm25,82,10.0,27.0,16.0,163.96
2025-01-25,SE,Stockholm,pm25,96,13.0,37.0,23.0,385.36
2025-03-23,SE,Stockholm,pm25,96,13.0,58.0,27.0,1557.74
2024-03-30,SE,Stockholm,pm25,96,19.0,54.0,31.0,721.36
2024-07-25,SE,Stockholm,pm25,96,7.0,38.0,20.0,678.55
2024-11-22,SE,Stockholm,pm25,96,6.0,23.0,9.0,152.87
2025-04-21,SE,Stockholm,pm25,96,4.0,23.0,15.0,253.02
2025-05-29,SE,Stockholm,pm25,96,8.0,27.0,16.0,162.32
2025-03-01,SE,Stockholm,pm25,96,10.0,56.0,21.0,792.0
2025-04-24,SE,Stockholm,pm25,96,5.0,27.0,9.0,313.15
2025-05-30,SE,Stockholm,pm25,96,7.0,24.0,14.0,157.88
2024-07-14,SE,Stockholm,pm25,78,4.0,32.0,10.0,311.12
2024-08-15,SE,Stockholm,pm25,96,6.0,45.0,13.0,728.04
2024-09-10,SE,Stockholm,pm25,95,10.0,53.0,19.0,1726.99
2024-11-10,SE,Stockholm,pm25,96,3.0,24.0,9.0,313.47
2025-02-27,SE,Stockholm,pm25,96,9.0,35.0,16.0,348.31
2025-07-15,SE,Stockholm,pm25,72,18.0,58.0,39.0,1158.8
2025-07-28,SE,Stockholm,pm25,72,10.0,39.0,25.0,541.69
2025-09-09,SE,Stockholm,pm25,96,22.0,54.0,38.0,939.47
